,imv
0,"[0.006004691872869258, 0.006290075217677958, 0.006843487634426979, 0.006461473552089248, 0.006196905921175549, 0.0064023327160377, 0.006063856456253293, 0.006429806015428158, 0.005755090635915268, 0.007042805651506364]"
1,"[0.007023659180901804, 0.00617412718952522, 0.006608555217692991, 0.006143119018314797, 0.006353617103842391, 0.006423219292464753, 0.006317759076808493, 0.005832627222561219, 0.0065298563849983254, 0.006085965636600961]"
2,"[0.005867794179726199, 0.005915810706468045, 0.006027261274191088, 0.006457450319337027, 0.0068394318479228205, 0.006773016066086449, 0.0067731737228244274, 0.006204179474727382, 0.006216267515615537, 0.006455791779703028]"
3,"[0.006302128433618243, 0.006662133680190234, 0.006877894092110972, 0.006172451870002465, 0.0059244682956030555, 0.006872576267536406, 0.0061937990477011215, 0.006159270056414856, 0.00611488968968341, 0.006245396375300901]"
4,"[0.006408469756998653, 0.006265807064579752, 0.005957328210802644, 0.006901719737654171, 0.005757647926624426, 0.006482549941144066, 0.006493747502364711, 0.006731293003207122, 0.0063433539793232956, 0.0061688775669820235]"
5,"[0.00700292004549489, 0.00652030819050835, 0.005563849957263226, 0.006113524277222692, 0.0061778793657699714, 0.006352724224241808, 0.006362466560123784, 0.007101112903191747, 0.006030442709139937, 0.006277929295637414]"
6,"[0.006694300391444447, 0.005569749575920108, 0.00638455625540432, 0.006154375377495449, 0.006684439264539445, 0.006928766923591627, 0.006482623723709892, 0.00595832258774713, 0.006527590212293867, 0.006103919011906269]"
7,"[0.006176160487010284, 0.005979667620449506, 0.006141798516834118, 0.006787722476594251, 0.006306450037916999, 0.0062237606439260644, 0.0068545615158714735, 0.005784558425266104, 0.006329547175297925, 0.0068878190537248465]"
8,"[0.006446605706593085, 0.0072875294969351944, 0.006702869376998349, 0.006162222084187813, 0.00673863963008057, 0.006150334409633644, 0.0061304701390903615, 0.006103323191738657, 0.005780772070736295, 0.0059750363926402185]"
9,"[0.006477761130527937, 0.006336607410828248, 0.007515648009432509, 0.005941411144671562, 0.005996819457388374, 0.006222152423555534, 0.005627104810821448, 0.0060470594841561046, 0.006630750808093619, 0.006711855848011667]"
10,"[0.005918266089338319, 0.005866031963333323, 0.006622449489915882, 0.006823810474784179, 0.006445248129265478, 0.006841141634017973, 0.006172247238707626, 0.006570356282395795, 0.006174404983780492, 0.006070767586871841]"
11,"[0.006936218528151758, 0.006086320110874508, 0.00633850620772342, 0.007088727252588773, 0.005922635961377465, 0.0066784092933084935, 0.006658078366345197, 0.005994327648735248, 0.0057286754691352375, 0.006050550721875215]"
12,"[0.006224702676253872, 0.0067198803829993554, 0.0067693581976455645, 0.006173305345501841, 0.0061925238260995925, 0.006222888816507248, 0.006652985128726026, 0.006343391187614647, 0.006160525350490093, 0.006015419212508542]"
13,"[0.006553206499263008, 0.006456485408025689, 0.006289518961837545, 0.0072092331005818985, 0.006258906531856438, 0.006128554812756499, 0.005603898267802884, 0.006588318738907667, 0.006210051974083906, 0.006205468838539092]"
14,"[0.006457124772479155, 0.006870223170076204, 0.00591536449494354, 0.005644002395084111, 0.006170265569826492, 0.006843484488598421, 0.005953210636542222, 0.006838035233227174, 0.007162863305769243, 0.005628348497632514]"
15,"[0.005469662725527293, 0.006703598307179753, 0.006962639638688815, 0.006137949956794324, 0.005957202824206613, 0.006685149265298301, 0.006497253861263815, 0.006178859457886448, 0.005993920541305978, 0.006891886848091538]"
16,"[0.006757498905785401, 0.007088524995189183, 0.005758060764292948, 0.005671549948393234, 0.00663091748301497, 0.00602033177028959, 0.006587400204119052, 0.006416820728235343, 0.006517785936954536, 0.006051387636601159]"
17,"[0.006171287660108153, 0.007117239537911311, 0.006509776736714529, 0.005872403204353439, 0.006468905634222941, 0.00621074713062276, 0.006058698770741899, 0.006349636670707582, 0.006447481519813971, 0.006335412506937996]"
18,"[0.006174890110962813, 0.006220132318765826, 0.006660567268781126, 0.006124257526244368, 0.006826274782923609, 0.006512775722157226, 0.006262653930334963, 0.00618714267908527, 0.00654964299160411, 0.005977381125239745]"
19,"[0.0071973838126531955, 0.006543943271436584, 0.005914102930547502, 0.006143820339300446, 0.00591145217968677, 0.005838513431784122, 0.006309404499894393, 0.006989936519080917, 0.006167782082963277, 0.006492383903538587]"
20,"[0.006508437584887338, 0.007112275320910733, 0.005597062904455112, 0.006432407900800576, 0.006532466387916437, 0.005829887093685744, 0.006482805452864265, 0.0058076356627816276, 0.006799071965712779, 0.006426415216017565]"
21,"[0.006654118257054189, 0.006355030684574561, 0.0061662070720963314, 0.006919370066204839, 0.005882623475161278, 0.006436954067042369, 0.006470858706493169, 0.005960921909384888, 0.0065081297722890605, 0.006161601131302179]"
22,"[0.006564329369110907, 0.006545845172034576, 0.006444541679015695, 0.006125344202316474, 0.005578046665350002, 0.006043854474107281, 0.006393486955743905, 0.006185023631779597, 0.0067228701468748766, 0.006924726900035144]"
23,"[0.006512150960110911, 0.006437796629003002, 0.005643004717390792, 0.006330425323933713, 0.006085658199954587, 0.006794011811470849, 0.00680091725903606, 0.006365802309878658, 0.006312390447242245, 0.006231404878314399]"
24,"[0.006624427541627331, 0.006908746146584904, 0.006672658801123083, 0.006237728805154495, 0.006227584335225152, 0.006211672669594495, 0.006068128586613766, 0.006443079425570926, 0.005908158452910074, 0.006201936294208562]"
25,"[0.006954865404347559, 0.005379681616541431, 0.006819427011629471, 0.005879494530657568, 0.006120787988605058, 0.006159547939531892, 0.006478350590800474, 0.006795061832346443, 0.006766622369137663, 0.006162161393324358]"
26,"[0.0060610570250286344, 0.006098085197151323, 0.006654653784224854, 0.0066702423268499575, 0.006499516169946268, 0.006137449837399169, 0.006327979296969945, 0.006553382290811454, 0.00603653213962113, 0.006447759655041407]"
27,"[0.006389878204700548, 0.005846614055209195, 0.006718468937507312, 0.006207385682068117, 0.006995642915058828, 0.006766838095977291, 0.006034399427643459, 0.00651713313083574, 0.0067243631630283076, 0.005313957818845269]"
28,"[0.006247633071198995, 0.00625276630706819, 0.005991925779962425, 0.005892428792607755, 0.005853136692208092, 0.006716511594400513, 0.006262711067672708, 0.006681776510696917, 0.006793730118819208, 0.006830240115295119]"
29,"[0.006493246352988246, 0.006208328146184446, 0.0061829962781467926, 0.0063426954509868926, 0.006163902226041429, 0.006430581016999504, 0.006620236623524744, 0.006541756927831776, 0.007134532142049768, 0.00538979147088986]"
30,"[0.0063951914586269, 0.005881456795199018, 0.007231076249030054, 0.0070671858769180956, 0.006334364717443365, 0.005971615058569005, 0.005876350993816598, 0.007056549852905031, 0.0060932226974030786, 0.005578460656380865]"
31,"[0.005631456330149976, 0.006325290740384021, 0.007016842252049604, 0.006665985347851333, 0.0059536329078468415, 0.006819447558457884, 0.006641410978916303, 0.00588286527046377, 0.006108372000827527, 0.006474656689977205]"
32,"[0.006378856500609687, 0.006192691725323338, 0.006323448528013058, 0.006287713011482644, 0.00605520561973234, 0.007230767368805477, 0.0064052878993657095, 0.006188895410421112, 0.0062347199670527, 0.006207399562071222]"
33,"[0.006375558029703107, 0.006187773349394821, 0.006408309394235573, 0.00692093058937846, 0.005585584748827189, 0.0069126648762817735, 0.006363891164238949, 0.006070016889379595, 0.006531297354571453, 0.006118702098773405]"
34,"[0.0062313346146882454, 0.006222163016231676, 0.0063209020234278445, 0.0066626814785468004, 0.006981276983985049, 0.006186078427878068, 0.005908537733967125, 0.006315142535162372, 0.006188330264248889, 0.006497870752664843]"
35,"[0.005823425395045421, 0.006637281843791531, 0.006314554067179224, 0.006633292255799706, 0.00650747406847011, 0.006587520568001842, 0.006141951192845174, 0.006821926055872475, 0.005668852351394872, 0.006347542267149309]"
36,"[0.006841924078882448, 0.00674052227202711, 0.006400236875780892, 0.006460700309730675, 0.0059631318304299, 0.0064417191346568415, 0.006313758617274727, 0.005688682208621355, 0.006766969878373697, 0.005848890695168313]"
37,"[0.0061866140025911825, 0.005657845973452584, 0.006431458694019061, 0.006600545636225222, 0.006654423764772492, 0.006377344583217588, 0.006199164378020598, 0.006937678300498913, 0.006193379674279223, 0.006256139929078286]"
38,"[0.0060773717767749, 0.006382130955871421, 0.006384494573197796, 0.006221079822665275, 0.006427881260626375, 0.005983714993726656, 0.006598830359569566, 0.006446434284004866, 0.006790773809787115, 0.0061719269178985335]"
39,"[0.006032998192292914, 0.006271510240964553, 0.0062811982285181965, 0.00678722463285779, 0.006322816305973779, 0.006682015594470471, 0.006505556827118058, 0.005949263069095762, 0.006622392041078506, 0.006019598992787321]"
40,"[0.006808200775717605, 0.006051616456958004, 0.006214665397848135, 0.00636523745298203, 0.0061239447206478895, 0.006597785237724179, 0.0069821573371859486, 0.006018324266928033, 0.006016750609961624, 0.006338183675141489]"
41,"[0.005705696671913286, 0.00705653648926322, 0.005534262222135052, 0.006564653938177975, 0.006183603295210694, 0.0064332377830008435, 0.006800102800193735, 0.006188119655205209, 0.00633156818493871, 0.006717474578145926]"
42,"[0.006670734288039873, 0.00651843965733512, 0.006354533053041002, 0.006030833828692034, 0.005993387379686075, 0.007081849601265032, 0.0057309768777528995, 0.0061163434988142674, 0.006574000440270389, 0.006436924663571144]"
43,"[0.0061295068852450915, 0.006116599634461459, 0.0055903139026987824, 0.006490450646018781, 0.006648776796620198, 0.006414532556600784, 0.006166860213005648, 0.0060585866836215495, 0.006576792881955173, 0.007321658552372128]"
44,"[0.006782670810210774, 0.006244741643988101, 0.006546025162057675, 0.006129103764812635, 0.006278641746616594, 0.006285262007396628, 0.006033101130002321, 0.006477571334429245, 0.006185617158779207, 0.00651989993775763]"
45,"[0.006387471228150719, 0.006747535765569416, 0.0070127828813174465, 0.005914022065504486, 0.0060562255498485765, 0.005945695944000501, 0.005917892341285111, 0.006764190806735614, 0.006456029678199777, 0.006302785861039807]"
46,"[0.006459676941200667, 0.006610250229693803, 0.006363259924463246, 0.005658318139896769, 0.0070739736725484136, 0.005958835385580663, 0.006229500189557389, 0.006057277509350336, 0.006493073177791732, 0.006573795257277922]"
47,"[0.006163527386731677, 0.006824825585564381, 0.005884259901973539, 0.005834382574808962, 0.006135673456036557, 0.006399069704978926, 0.007667542909958497, 0.006539536686035073, 0.0058425680412062045, 0.006230760061913041]"
48,"[0.006412698230918095, 0.006349337591921786, 0.006565173613380782, 0.006400712136773537, 0.005857652298913654, 0.006331516523852714, 0.006013545430238195, 0.007346026342597646, 0.006101717076784395, 0.006150700429939603]"
49,"[0.006392966080075553, 0.007081893098360432, 0.005992544037915851, 0.006352848431914906, 0.005871220527117432, 0.006595507259082055, 0.006346463583948245, 0.006113763816584664, 0.006475897477994372, 0.006262397893621346]"
50,"[0.006434166086122564, 0.006178538607172288, 0.006220333995147937, 0.006204762655450319, 0.006587881518364117, 0.005803108329161371, 0.006589189394473837, 0.006083182512726127, 0.006838997688204993, 0.006571247880316066]"
51,"[0.006198272255956664, 0.006574306364043717, 0.006566542143575887, 0.006584798992394013, 0.005655113114322461, 0.006794497184995708, 0.0063194950455019334, 0.006521930084264315, 0.006264631866843671, 0.006018974536433897]"
52,"[0.006207808905555932, 0.006178793090255107, 0.00647779603583275, 0.006131027548745553, 0.006046652078909849, 0.007017332293894109, 0.006141208232526815, 0.007312830971208828, 0.005849157657443228, 0.006146588994489975]"
53,"[0.006124246420557615, 0.005941144006864814, 0.006417176518915412, 0.005758854369101329, 0.006825751291875432, 0.006143602645381815, 0.006429613914549441, 0.0065887090744120545, 0.006772148360929404, 0.006539903592699147]"
54,"[0.006364591371880746, 0.0064900132774880276, 0.006159567092878002, 0.007237656573006479, 0.005845106110615123, 0.006527413120962804, 0.006001731591976938, 0.00605135710766963, 0.0064551584027990536, 0.006386455480972966]"
55,"[0.0060879308353212185, 0.006707403199542794, 0.006713341946606583, 0.005561969193294328, 0.006309760075344557, 0.0066966207431502596, 0.0063901565596082305, 0.006582128865301771, 0.0061423898026733694, 0.006303976910262312]"
56,"[0.005837508284191456, 0.006736435965345927, 0.005963296070400785, 0.006487854195350008, 0.0064852955509860566, 0.006641498204406151, 0.0063176495693705636, 0.0063457262340037915, 0.006533786255811541, 0.006149717874754904]"
57,"[0.005313943902714924, 0.006642358438217696, 0.007199841776710427, 0.006054714148713764, 0.006847883763114174, 0.006458914907632629, 0.005838641691805563, 0.006481481711873091, 0.005789369747731707, 0.006832229547067865]"
58,"[0.006859701584842259, 0.006796822912816561, 0.005896214099557744, 0.006749874175533649, 0.007103431889839665, 0.005846725469103524, 0.005873547298134479, 0.0062283053592703, 0.00622085190184627, 0.005897572926596604]"
59,"[0.006653271002617325, 0.006055376867014719, 0.005619661554559526, 0.005933156909230616, 0.007150943252318276, 0.007170155741008241, 0.006492018341899777, 0.006345068430046425, 0.006322790558515593, 0.005764149008592736]"
60,"[0.006263527666248946, 0.006560420860011799, 0.006423028636770461, 0.00614543404251559, 0.006121065683078583, 0.006878559454923866, 0.006169160622147354, 0.005969863993327643, 0.006347553284005824, 0.006630576769904754]"
61,"[0.006509026780074783, 0.006093119584809172, 0.006378808748660002, 0.006457268733785933, 0.006315649070339968, 0.0062705686655670995, 0.006616453471115465, 0.006101160768444058, 0.0061697308696154664, 0.006607489254619392]"
62,"[0.006297109812619446, 0.0061150247083386925, 0.006630969968970297, 0.006797567896211562, 0.006040992064215695, 0.006115436705066584, 0.006490667048439516, 0.0065569375590460634, 0.0061511532477249485, 0.0063224264307392255]"
63,"[0.006729617276722728, 0.006214190680266307, 0.007109368377558182, 0.006058057295081981, 0.006000122985458266, 0.006108769354378609, 0.00628929491103011, 0.006536620720842863, 0.006172246198865522, 0.006246721556437695]"
64,"[0.006633332745852699, 0.006194213268137785, 0.006382227129822047, 0.005377163147276024, 0.00618721637823304, 0.006445113366952935, 0.006706721909243004, 0.006521095925444167, 0.006431486783670012, 0.006631250995046456]"
65,"[0.006038430770506303, 0.006317983281409734, 0.006113045467181514, 0.006083812488743851, 0.006744761975643573, 0.006463093313463244, 0.006792421291399065, 0.0069439269601159325, 0.006273557580389244, 0.005745567332827189]"
66,"[0.005988731743133421, 0.006222354546902564, 0.006213588961931475, 0.0058830115869546425, 0.006965792070957915, 0.00671266050930649, 0.0067822872557030955, 0.00692590488024294, 0.005889848638664497, 0.005930972117397762]"
67,"[0.0060140713097411695, 0.006163262949220967, 0.006804673759832566, 0.006301245203848196, 0.006841033901575455, 0.005652247984584729, 0.006653191206252924, 0.006578321968377289, 0.006193515145544077, 0.00632276835319427]"
68,"[0.006092088649231206, 0.006282256256914413, 0.006598928646921027, 0.006325216669194621, 0.006858886565037053, 0.006867514634100516, 0.0057767978824624444, 0.006196617720888362, 0.006467586998921225, 0.006033060839349579]"
69,"[0.006279283014065805, 0.0062218364775361015, 0.006109933627694386, 0.0067799345593256505, 0.006655792545507345, 0.006227593136514876, 0.006905158682926847, 0.005853575073980127, 0.00616515679184907, 0.006292765561005448]"
70,"[0.006087328065217009, 0.006252106274141656, 0.006535318210383423, 0.006054139633221239, 0.0067460193582711755, 0.006427310090758648, 0.006716514042662772, 0.005936514967779909, 0.006389029231102484, 0.006361493928052337]"
71,"[0.006323800108958946, 0.007242299457854994, 0.006439397832668886, 0.006813435401427772, 0.0051601905684807966, 0.006684214171850834, 0.006353092242506386, 0.0063763117219558015, 0.006156880466461063, 0.005938632316292816]"
72,"[0.006742175111504479, 0.006756250288521762, 0.006290679197833939, 0.005890122493817695, 0.0063814954710309756, 0.005852561077018206, 0.006641073754085343, 0.006407226597710736, 0.0057748502002057224, 0.006765952438856006]"
73,"[0.006327330900046595, 0.006617299185400384, 0.0072975512525220556, 0.005954104786771895, 0.005876823845182975, 0.006762649314067122, 0.006230579371426982, 0.005819668215755696, 0.006277012674561196, 0.006360888451515575]"
74,"[0.006290244871658021, 0.006327619963154674, 0.005835455442326584, 0.006070907753565911, 0.0058835990772404, 0.006272279143898634, 0.006850152090915012, 0.006230695863048654, 0.006683227248110948, 0.007082201356874995]"
75,"[0.00623033496136117, 0.006295603325949954, 0.00556344517617872, 0.006522323806484674, 0.005985850219688937, 0.0065193267320714605, 0.006363910136386792, 0.006855342655346965, 0.006538139384897387, 0.00662563085468978]"
76,"[0.006553876872938131, 0.0067181751847616294, 0.006478536600565477, 0.006609087386349007, 0.006318950149465346, 0.0065301648070894055, 0.005951788619983003, 0.005884142413648348, 0.006282265207057944, 0.006198881005801122]"
77,"[0.006991499430191417, 0.0066962192693097, 0.006256287952940141, 0.005665054783054318, 0.005619386953673818, 0.006785828875154087, 0.0061477376606874756, 0.005382281532199798, 0.007229328328986812, 0.0067502882401244075]"
78,"[0.006112906132515365, 0.0065965315623900825, 0.007254918115301248, 0.006920760333517168, 0.006276082922555789, 0.005962179161440768, 0.006032121238323966, 0.006390374155560418, 0.006168180628237789, 0.005763718621909764]"
79,"[0.006046816033588502, 0.006123155837769423, 0.006555306657970412, 0.006078938775509191, 0.00585970379848534, 0.006427473900476341, 0.006343538703472008, 0.006611240668553895, 0.006583668598912821, 0.00684084482339504]"
80,"[0.006693416626683405, 0.005953457906074658, 0.006241828462633243, 0.00698882525897093, 0.006354475921386913, 0.006602537453126125, 0.006569601542842104, 0.00590564779628391, 0.0066791399178037225, 0.005487350253773788]"
